fea.net.0.weight                                        shape=(8, 3, 3, 3)                 numel=216
esas.2.conv4.bias                                       shape=(48,)                        numel=48
esas.3.conv1.weight                                     shape=(12, 48, 1, 1)               numel=576
esas.3.conv1.bias                                       shape=(12,)                        numel=12
esas.3.conv_f.weight                                    shape=(12, 12, 1, 1)               numel=144
esas.3.conv_f.bias                                      shape=(12,)                        numel=12
esas.3.conv2.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.3.conv2.bias                                       shape=(12,)                        numel=12
esas.3.conv3.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.3.conv3.bias                                       shape=(12,)                        numel=12
esas.3.conv4.weight                                     shape=(48, 12, 1, 1)               numel=576
esas.3.conv4.bias                                       shape=(48,)                        numel=48
esas.4.conv1.weight                                     shape=(12, 48, 1, 1)               numel=576
esas.4.conv1.bias                                       shape=(12,)                        numel=12
esas.4.conv_f.weight                                    shape=(12, 12, 1, 1)               numel=144
esas.4.conv_f.bias                                      shape=(12,)                        numel=12
esas.4.conv2.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.4.conv2.bias                                       shape=(12,)                        numel=12
esas.4.conv3.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.4.conv3.bias                                       shape=(12,)                        numel=12
esas.4.conv4.weight                                     shape=(48, 12, 1, 1)               numel=576
esas.4.conv4.bias                                       shape=(48,)                        numel=48
esas.5.conv1.weight                                     shape=(12, 48, 1, 1)               numel=576
esas.5.conv1.bias                                       shape=(12,)                        numel=12
esas.5.conv_f.weight                                    shape=(12, 12, 1, 1)               numel=144
esas.5.conv_f.bias                                      shape=(12,)                        numel=12
esas.5.conv2.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.5.conv2.bias                                       shape=(12,)                        numel=12
esas.5.conv3.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.5.conv3.bias                                       shape=(12,)                        numel=12
esas.5.conv4.weight                                     shape=(48, 12, 1, 1)               numel=576
esas.5.conv4.bias                                       shape=(48,)                        numel=48
esas.6.conv1.weight                                     shape=(12, 48, 1, 1)               numel=576
esas.6.conv1.bias                                       shape=(12,)                        numel=12
esas.6.conv_f.weight                                    shape=(12, 12, 1, 1)               numel=144
esas.6.conv_f.bias                                      shape=(12,)                        numel=12
esas.6.conv2.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.6.conv2.bias                                       shape=(12,)                        numel=12
esas.6.conv3.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.6.conv3.bias                                       shape=(12,)                        numel=12
esas.6.conv4.weight                                     shape=(48, 12, 1, 1)               numel=576
esas.6.conv4.bias                                       shape=(48,)                        numel=48
esas.7.conv1.weight                                     shape=(12, 48, 1, 1)               numel=576
esas.7.conv1.bias                                       shape=(12,)                        numel=12
esas.7.conv_f.weight                                    shape=(12, 12, 1, 1)               numel=144
esas.7.conv_f.bias                                      shape=(12,)                        numel=12
esas.7.conv2.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.7.conv2.bias                                       shape=(12,)                        numel=12
esas.7.conv3.weight                                     shape=(12, 12, 3, 3)               numel=1296
esas.7.conv3.bias                                       shape=(12,)                        numel=12
esas.7.conv4.weight                                     shape=(48, 12, 1, 1)               numel=576
esas.7.conv4.bias                                       shape=(48,)                        numel=48
first_conv.weight                                       shape=(48, 3, 3, 3)                numel=1296
first_conv.bias                                         shape=(48,)                        numel=48
blocks.0.0.means                                        shape=(16, 48)                     numel=768
blocks.0.0.initted                                      shape=()                           numel=1
blocks.0.0.norm.weight                                  shape=(48,)                        numel=48
blocks.0.0.norm.bias                                    shape=(48,)                        numel=48
blocks.0.0.mlp.norm.weight                              shape=(48,)                        numel=48
blocks.0.0.mlp.norm.bias                                shape=(48,)                        numel=48
blocks.0.0.mlp.fn.fc1.weight                            shape=(96, 48)                     numel=4608
blocks.0.0.mlp.fn.fc1.bias                              shape=(96,)                        numel=96
blocks.0.0.mlp.fn.dwconv.depthwise_conv.0.weight        shape=(96, 1, 5, 5)                numel=2400
blocks.0.0.mlp.fn.dwconv.depthwise_conv.0.bias          shape=(96,)                        numel=96
blocks.0.0.mlp.fn.fc2.weight                            shape=(48, 96)                     numel=4608
blocks.0.0.mlp.fn.fc2.bias                              shape=(48,)                        numel=48
blocks.0.0.irca_attn.to_k.weight                        shape=(36, 48)                     numel=1728
blocks.0.0.irca_attn.to_v.weight                        shape=(48, 48)                     numel=2304
blocks.0.0.iasa_attn.to_q.weight                        shape=(36, 48)                     numel=1728
blocks.0.0.iasa_attn.to_k.weight                        shape=(36, 48)                     numel=1728
blocks.0.0.iasa_attn.to_v.weight                        shape=(48, 48)                     numel=2304
blocks.0.0.iasa_attn.proj.weight                        shape=(48, 48)                     numel=2304
blocks.0.0.conv1x1.weight                               shape=(48, 48, 1, 1)               numel=2304
blocks.0.1.layer.0.norm.weight                          shape=(48,)                        numel=48
blocks.0.1.layer.0.norm.bias                            shape=(48,)                        numel=48
blocks.0.1.layer.0.fn.to_q.weight                       shape=(36, 48)                     numel=1728
blocks.0.1.layer.0.fn.to_k.weight                       shape=(36, 48)                     numel=1728
blocks.0.1.layer.0.fn.to_v.weight                       shape=(48, 48)                     numel=2304
blocks.0.1.layer.0.fn.proj.weight                       shape=(48, 48)                     numel=2304
blocks.0.1.layer.1.norm.weight                          shape=(48,)                        numel=48
blocks.0.1.layer.1.norm.bias                            shape=(48,)                        numel=48
